Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
311,39.68645,-106.9469433,2201.1,,,,,,,,,
312,39.68653,-106.94692,2201.4,,,,,,,,,
313,39.68661,-106.9469067,2201.6,,,,,,,,,
314,39.686695,-106.9468767,2202.5,,,,,,,,,
315,39.68677,-106.946865,2203.3,,,,,,,,,
316,39.68684,-106.946845,2203.8,,,,,,,,,
317,39.686915,-106.9468117,2204.9,,,,,,,,,
318,39.68699,-106.9467783,2206.2,,,,,,,,,
319,39.68706333,-106.9467817,2207.2,,,,,,,,,
320,39.68714333,-106.9467767,2208.2,,,,,,,,,
321,39.687205,-106.9467717,2209.9,,,,,,,,,
322,39.68726833,-106.9467683,2211.5,,,,,,,,,
323,39.68731667,-106.9467617,2213.2,,,,,,,,,
324,39.68738333,-106.9468033,2213.5,,,,,,,,,
325,39.68746333,-106.9467933,2214.8,,,,,,,,,
326,39.68751167,-106.9467517,2216.6,,,,,,,,,
327,39.68756167,-106.9466783,2216.8,,,,,,,,,
328,39.68762667,-106.9466583,2217.6,,,,,,,,,
329,39.68768,-106.9465933,2220.3,,,,,,,,,
330,39.68774333,-106.9465533,2223,,,,,,,,,
331,39.68773667,-106.9465467,2222.6,,,,,,,,,
332,39.68777667,-106.94642,2222.7,,,,,,,,,
333,39.68778333,-106.946315,2223.9,,,,,,,,,
334,39.68781667,-106.9461983,2225.2,,,,,,,,,
335,39.68789,-106.946085,2226.1,,,,,,,,,
336,39.68794,-106.9459617,2225.9,,,,,,,,,
337,39.68792333,-106.9458483,2226.5,,,,,,,,,
338,39.68795167,-106.945765,2225.9,,,,,,,,,
339,39.68795333,-106.9456967,2224.6,,,,,,,,,
340,39.68797667,-106.9456467,2223.7,,,,,,,,,
341,39.68799833,-106.9456267,2222.8,,,,,,,,,
342,39.68803,-106.945595,2221.7,,,,,,,,,
343,39.68806,-106.94555,2220.6,,,,,,,,,
344,39.68808167,-106.9455033,2219.6,,,,,,,,,
345,39.68812,-106.945445,2218.8,,,,,,,,,
346,39.688155,-106.94539,2218.1,,,,,,,,,
347,39.68819,-106.945365,2217.3,,,,,,,,,
348,39.68823,-106.9453583,2216.3,,,,,,,,,
349,39.68827167,-106.9453317,2215.3,,,,,,,,,
350,39.68830833,-106.9452683,2214.8,,,,,,,,,
351,39.68834333,-106.9452267,2215,,,,,,,,,
352,39.68838167,-106.9451817,2214.8,,,,,,,,,
353,39.68842333,-106.9451733,2214.8,,,,,,,,,
354,39.68849,-106.9451017,2215,,,,,,,,,
355,39.68856333,-106.9450467,2215.6,,,,,,,,,
356,39.68855667,-106.9449617,2216.2,,,,,,,,,
357,39.688615,-106.9449033,2216.9,,,,,,,,,
358,39.68866667,-106.9448117,2217.5,,,,,,,,,
359,39.68872833,-106.9447033,2218.6,,,,,,,,,
